Means
37.3
57
49
48.3
50.4
49.3
30.4
43.9
48.2
55.8
42.9
44.1
46.3
26.4
54.8
41.6
57.6
47.2
48.2
44.7
46
53.7
49.2
51
45.1
42.6
46
40.3
44.2
50.3
49.7
50.7
49.3
40.3
53
50
34
49.1
55.2
48.4
44.9
58.3
59.8
51.9
40.3
60.4
40.1
57.4
56.3
36.9
