station ID,year,JanTotal,FebTotal,MarTotal,AprTotal,MayTotal,JunTotal,JulTotal,AugTotal,SepTotal,OctTotal,NovTotal,DecTotal,AnnTotal
62658,1944,1.53,1.78,3.02,3.56,2.7,7.05,2.51,2.92,3.21,1.87,3.69,2.67,36.51
62658,1945,3.72,1.89,1.88,5.57,6.67,6.71,8.22,3.65,4.89,2.32,3.81,3.36,52.7
62658,1946,1.69,2.52,1.57,2.07,4.52,3.22,5.26,2.11,3.65,2.1,0.94,2.15,31.81
62658,1947,2.48,2.49,3.26,4.11,5.06,3.54,3.61,0.93,3.39,1.65,5.32,2.04,37.87
62658,1948,2.55,1.93,3.75,3.5,5.3,5.85,2.8,2.3,0.9,1.76,4.2,5.2,40.05
62658,1949,6.94,2.39,1.32,3.54,5.55,0.93,2.92,1.27,2.04,2.75,1.5,4.1,35.26
62658,1950,3.32,2.8,2.22,2.43,4.3,5.22,3.03,4.72,1.33,1.32,7.03,3.35,41.06
62658,1951,2.62,4.52,4.07,3.16,3.07,3.15,4.15,4.78,4.26,3.52,5.88,4.04,47.21
62658,1952,3.93,2.14,2.77,6.69,3.66,4.88,3,5.23,4.44,1.36,2.46,2.85,43.42
62658,1953,6.26,2.31,8.01,5.36,5.73,3.97,1.8,1.28,4.65,4.6,2.46,5.04,51.45
62658,1954,2.67,2.23,3.64,4.03,4.03,1.27,4.01,4.13,8.7,2.11,6.06,3.87,46.72
62658,1955,0.66,3.28,2.86,5.63,1.77,2.17,1.85,17.91,2.98,10.52,5.72,1.41,56.76
62658,1956,2.2,3.31,4.21,5.6,1.06,2.25,3.93,1.33,4.92,1.91,4.37,4.28,39.38
62658,1957,1.38,0.93,1.29,3.99,2.63,1.63,2.31,2.96,1.9,1.94,3.8,7.35,32.11
62658,1958,4.62,1.71,2.82,5.66,3.74,1.39,7.86,4.11,4.87,5.11,3.67,0.5,46.06
62658,1959,2.33,2.78,3.33,3.55,1.47,5.37,6.06,3.03,3.11,7.28,6.11,3.87,48.28
62658,1960,3,3.75,2.28,4.85,2.32,6.43,5.4,5.01,7.75,3.33,2.59,2.12,48.84
62658,1961,2.56,2.83,3.26,4.42,4.91,5.72,1.55,3.49,3.59,2.26,3.9,2.46,40.93
62658,1962,3.35,3.3,0.84,3.85,1.74,2.75,1.48,6.57,1.77,2.76,3.14,2.73,34.26
62658,1963,2.71,2.54,2.76,1.07,2.23,5.57,4.08,1.96,4.21,0.36,5.89,2.41,35.8
62658,1964,3.13,2.31,2.85,3.63,1.45,2.12,2.24,3.29,1.17,1.5,1.78,3.91,29.38
62658,1965,2.38,2.2,1.08,2.53,2.3,2.28,1.62,4.76,3.7,3.01,2.53,2.11,30.49
62658,1966,2.15,2.33,2.33,1.34,3.38,2.54,1.93,3.11,5.2,4.88,3.99,2.76,35.94
62658,1967,1.13,2.63,3.8,3.48,3.73,5.05,6.09,3.49,1.81,4.46,2.28,5.88,43.83
62658,1968,1.77,0.69,4.37,3.66,4.34,8.84,0.85,2.43,3.35,2.56,4.48,4.5,41.85
62658,1969,1.5,2.44,1.98,6.25,3.9,4.62,8.3,4.99,2.88,1.81,5.7,5.04,49.4
62658,1970,0.8,3.09,2.69,3.8,3.06,2.64,3.06,3.67,3.92,1.96,3.76,3.13,35.57
62658,1971,1.7,3.08,2.09,2.38,4.54,1.23,3.12,7.56,5.53,3.33,4.15,3.16,41.87
62658,1972,2.56,3.44,3.89,4.88,4.39,9.84,3.81,3.28,1.96,4.48,6.57,5.76,54.86
62658,1973,3.78,3.12,3.28,5.39,6.44,4.45,5.72,4.34,3.17,2.63,2.2,9.57,54.09
62658,1974,3.61,1.88,3.81,2.63,4.52,3.02,3.23,3.87,6.98,2.61,3.12,4.3,43.57
62658,1975,4.3,3.09,3.43,2.77,3.69,5.37,8.58,4.24,7.25,3.55,4.39,3.36,54.03
62658,1976,4.88,2.76,2.39,3.34,4.73,2.68,4.38,7.81,3.56,5.83,0.85,2.35,45.56
62658,1977,1.57,2.54,7.41,4.41,3.09,3.48,2.62,5.52,7.36,4.74,3.15,4.61,50.5
62658,1978,7.24,1.15,2.74,0.77,3.78,6.43,2.57,3.22,3.06,1.65,1.47,3.15,37.23
62658,1979,9.85,2.72,4.09,4.05,4.17,0.88,1.39,5.43,5.67,3.39,4.79,2.04,48.47
62658,1980,1.4,0.82,6.29,3.48,1.15,4.75,1.79,2.35,2.85,3.08,3.28,0.85,32.09
62658,1981,0.91,8.16,0.4,3.54,3.81,5.35,3,0.71,2.67,4.74,2.11,4.1,39.5
62658,1982,3.35,4.21,2.29,5,2.29,7.3,3.25,1.73,2.15,6.87,3.25,1.94,43.64
62658,1983,3.98,3.2,5.44,8.06,4.72,4.04,1.39,3.8,1.86,3.3,4.92,5.39,50.1
62658,1984,1.8,3.6,3.94,3.89,11.69,1.61,4.6,3.35,1.51,2.25,2.79,1.98,43.02
62658,1985,0.7,2.42,1.86,2.2,3.87,5.6,6.23,6.09,4.69,2.48,5.1,1.73,42.98
62658,1986,3.55,2.92,3.33,1.6,2.17,8.83,6.43,7.14,0.97,3.12,4.44,2.39,46.89
62658,1987,3.89,0.17,2.09,7.69,2.13,2.54,2.13,4.23,5.25,5.26,2.29,1.57,39.24
62658,1988,2.17,2.92,1.68,1.7,2.93,0.5,8.18,5.41,1.66,2.37,7.74,1.72,38.97
62658,1989,1.54,2.2,2.38,3.48,7.96,5.05,3.4,3.96,5.46,5.42,3.13,0.84,44.83
62658,1990,4.23,3.17,3.41,4.16,6.89,2.69,2.61,9.72,1.2,6.58,2.76,6.13,53.55
62658,1991,1.96,1.62,4.35,2.1,6.24,3.81,1.41,6.17,5.86,3.85,3.76,3.43,44.56
62658,1992,1.69,1.88,3.56,3.81,1.81,5.37,4.96,5.31,2.41,2.37,4.89,5.28,43.32
62658,1993,2.26,2.26,5.99,4.63,1.36,2.61,1.58,3.2,6.12,3.89,4.71,4.24,42.86
62658,1994,4.58,2.44,4.73,4.17,3.74,3.06,7.44,6.53,2.7,1.62,3.82,5.04,49.88
62658,1995,4.31,1.92,3.07,2.39,2.45,0.77,5.14,2.13,2.87,11.74,5.05,1.79,43.64
62658,1996,7.66,2.52,3.02,6.49,4.78,2.52,10.03,2.06,6.27,5.6,3.41,6.89,61.25
62658,1997,3.17,1.63,4.08,5.04,3.91,1.62,3.66,4.3,1.04,1.63,6.31,3.67,40.08
62658,1998,3.83,2.3,4.23,3.43,3.61,6.63,5.84,0.79,3.35,5.55,2.23,1.06,42.84
62658,1999,6.31,2.76,5.31,1.41,6.03,2.62,2.38,4.67,9.75,3.07,3.18,1.95,49.44
62658,2000,3.35,2.25,3.92,3.61,5,10.35,10.91,2.29,4.19,2.19,2.49,4.36,54.92
62658,2001,1.8,2.19,5.63,1.45,2.63,7.59,1.67,4.25,4.31,0.96,0.98,2.59,36.05
62658,2002,1.28,1.39,2.74,4.09,5.33,5.02,1.79,3.53,4.61,2.29,5.02,2.89,39.99
62658,2003,2.48,2.02,2.46,1.02,5.18,5.65,3.66,3.28,8.12,4.52,4.2,4.67,47.26
62658,2004,1.26,1.42,1.74,3.72,4.8,3.04,5.02,7.25,9.96,1.64,2.2,2.96,45.02
62658,2005,4.15,1.87,4.01,2.95,1.33,4.65,2.37,2.55,1.52,16.32,5.07,3.52,50.31
62658,2006,5.23,1.48,0.75,4.26,5.32,8.33,2.19,4.36,5.5,5.49,4.86,1.39,49.16
62658,2007,1.71,1.5,3.61,5.89,1.44,3.44,6.3,2.02,2.38,4.97,3.45,4.53,41.24
62658,2008,1.41,8.68,4.43,2.8,2.39,8.28,5.93,2.06,8.35,2.42,2.2,6.62,55.56
62658,2009,1.77,1.42,2.22,2.2,5.08,8.6,10.24,5.65,2.09,4.33,2.6,3.39,49.61
62658,2010,2.32,3.22,5.19,1.62,2.3,4.57,5.18,2.78,1.09,10.51,2.69,3.92,45.41
62658,2011,2.51,3.32,5.59,5.04,3.63,5.27,1.76,11.24,10.62,3.82,2.26,4.95,60
62658,2012,2.34,0.81,1.26,2.63,4.27,2.58,4.7,3.95,6.93,5.75,0.92,3.94,40.08
62658,2013,0.83,1.41,1.91,1.72,6.68,9.41,3.49,7.56,4.11,1.89,3.6,2.66,45.27
63207,1856,3.25,1,1,4.02,5.3,2.01,1.93,5.71,3.85,1.6,6.1,5.9,41.67
63207,1869,3.54,4.41,9.04,1.52,7.41,3.52,3.14,2.22,4.22,19.74,3.84,6.36,68.97
63207,1871,1.45,1.75,6.23,2.67,2.74,4.58,1.39,3.71,1.35,8.35,5.5,2.78,42.5
63207,1872,2.46,0.96,3.69,2.3,3.16,2.78,5.35,6.06,6.98,3.77,5.46,4.04,47.01
63207,1873,6.38,3.31,2.24,2.88,5.38,0.58,1.38,3.69,2.38,5.62,5.52,2.9,42.27
63207,1874,2.65,2.85,2.96,10.85,5.26,2.63,5.05,16.44,2.08,0.91,3.67,4.24,59.59
63207,1875,4.13,4.09,4.02,2.95,2.68,3.21,6.36,3.55,4.11,4.06,4.16,1.47,44.79
63207,1876,1.83,4.83,7.01,5.74,2.85,0.68,5.65,0.48,5,1.44,5.26,2.43,43.2
63207,1877,3.67,1.6,10.96,2.52,2.11,7.7,3.98,4.9,1.21,6.78,5.15,0.73,51.31
63207,1878,5.18,1.22,2.22,1.63,0.98,2.76,3.11,5.44,1.52,3.75,5.8,5.74,39.35
63207,1879,3.32,2.81,5.96,6.48,1.47,4.76,6.04,7.75,4.7,1.16,2.22,4.38,51.05
63207,1880,2.44,3.43,4.97,3.44,1.39,2.16,5.59,6.53,3.06,4.14,2.05,4.03,43.24
63207,1881,6.76,7.06,8.07,2.23,4.85,3.75,2.72,2.08,1.37,3.56,5.16,4.03,51.64
63207,1882,6.9,5.26,3.56,3.4,4.13,4.85,3.02,2.1,8.99,4.99,1.76,1.5,50.46
63207,1883,4.38,6.02,3.35,3.61,5.73,3.3,7.84,2.76,3.24,7.33,3.19,3.62,54.37
63207,1884,6.12,5.62,5.53,3.99,5.64,6.29,6.02,7.13,1.32,3.53,2.78,7.36,61.33
63207,1885,5.44,4.03,1.55,3.34,5.02,2.12,2.67,7.69,1.44,6.16,5.69,3.92,49.07
63207,1886,7.39,11.98,4.64,3.63,3.45,2.14,3.82,5.04,3.69,4.14,4.57,4.37,58.86
63207,1887,4.73,5.88,4.65,3.63,1.36,4.69,5.47,4.19,2.32,4.28,2.19,4.62,48
63207,1888,4.78,2.33,5.96,2.66,4.9,1.28,1.35,3.81,7.32,3.77,5.46,2.39,46.02
63207,1889,3.54,2.47,2.37,4.02,3.84,4.13,6.91,4.15,4.93,5.25,6.19,1.9,49.69
63207,1890,3.31,2.4,8.6,4.86,4.51,2.94,3.07,2.43,5.51,6.43,0.86,3.93,48.85
63207,1891,6.36,6.46,3.99,3.12,1.42,2.81,3.37,4.99,2.6,6.5,3.37,3.74,48.72
63207,1892,4.82,1.71,4.33,1.86,4.07,2.46,2.57,3.45,2.04,0.98,4.79,1.67,34.75
63207,1893,2.46,5.93,5.38,3.12,5.02,3.6,1.51,3.69,2.29,2.2,2.42,4.1,41.72
63207,1894,3.5,3.8,2.07,2.62,3.53,0.53,0.44,2.91,2.59,7.21,4.75,5.25,39.2
63207,1895,5.54,0.43,4.12,4.51,4.32,2.16,5.83,2.41,1.68,4.71,3.76,1.41,40.87
63207,1896,0.51,3.08,2.96,1.5,2.17,1.73,3.64,3.6,2.49,3.38,2.28,2.75,30.09
63207,1897,4.28,1.44,2.48,3.69,4.77,2.48,6.22,5.06,3.74,1.2,7.85,4.56,47.79
63207,1898,4.45,4,3.67,4.49,8.13,1.09,4.73,7.69,3.33,8.47,7.43,1.85,59.35
63207,1899,4.02,6.92,7.6,1.45,2.52,2.59,5.29,2.59,4.32,1.87,1.58,1.73,42.49
63207,1900,4.25,4.7,4.25,2.02,4.84,1.91,1.46,0.89,4.03,1.3,5.16,1.86,36.66
